Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,0,"[0, 1, 2, 3]",0,0,"[[0 0 0 0]
 [0 0 0 0]
 [2 0 0 0]
 [0 0 0 2]]","[[0 0 0 0]
 [0 0 0 0]
 [2 0 0 2]
 [2 0 0 0]]",False,True
0,0,1,"[0, 1, 2, 3]",1.0,1.0,"[[0 0 0 0]
 [0 0 0 0]
 [2 0 0 2]
 [2 0 0 0]]","[[4 0 0 2]
 [0 0 2 0]
 [0 0 0 0]
 [0 0 0 0]]",False,True
0,0,1,"[0, 1, 2, 3]",0,1.0,"[[4 0 0 2]
 [0 0 2 0]
 [0 0 0 0]
 [0 0 0 0]]","[[4 0 2 2]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 2]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,2.0,"[[4 0 2 2]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 2]]","[[4 4 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [2 0 2 0]]",False,True
0,0,1,"[0, 1, 2, 3]",0,2.0,"[[4 4 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [2 0 2 0]]","[[4 4 2 0]
 [2 0 0 0]
 [0 0 2 0]
 [0 0 0 0]]",False,True
0,0,0,"[0, 1, 2, 3]",1.0,3.0,"[[4 4 2 0]
 [2 0 0 0]
 [0 0 2 0]
 [0 0 0 0]]","[[8 2 0 0]
 [2 2 0 0]
 [2 0 0 0]
 [0 0 0 0]]",False,True
0,0,2,"[0, 1, 2, 3]",1.0,4.0,"[[8 2 0 0]
 [2 2 0 0]
 [2 0 0 0]
 [0 0 0 0]]","[[0 0 8 2]
 [0 0 0 4]
 [0 0 2 2]
 [0 0 0 0]]",False,True
0,0,1,"[0, 1, 2, 3]",0,4.0,"[[0 0 8 2]
 [0 0 0 4]
 [0 0 2 2]
 [0 0 0 0]]","[[0 0 8 2]
 [0 2 2 4]
 [0 0 0 2]
 [0 0 0 0]]",False,True
0,0,3,"[0, 1, 2, 3]",0,4.0,"[[0 0 8 2]
 [0 2 2 4]
 [0 0 0 2]
 [0 0 0 0]]","[[0 0 0 2]
 [0 0 0 2]
 [0 0 8 4]
 [0 2 2 2]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,5.0,"[[0 0 0 2]
 [0 0 0 2]
 [0 0 8 4]
 [0 2 2 2]]","[[0 0 0 0]
 [2 0 0 4]
 [0 0 8 4]
 [0 2 2 2]]",False,True
0,0,3,"[0, 1, 2, 3]",1.0,6.0,"[[0 0 0 0]
 [2 0 0 4]
 [0 0 8 4]
 [0 2 2 2]]","[[0 2 0 0]
 [0 0 0 0]
 [0 0 8 8]
 [2 2 2 2]]",False,True
0,0,3,"[0, 1, 2, 3]",2.0,8.0,"[[0 2 0 0]
 [0 0 0 0]
 [0 0 8 8]
 [2 2 2 2]]","[[0 0 0 4]
 [0 0 0 0]
 [0 0 8 8]
 [2 4 2 2]]",False,True
