Episode,Action,Legal Moves,Reward,Total Reward,State,Next State,Done,Ho salvato
0,0,0,"[0, 1, 2]",4,4,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [2 2 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [4 2 0 0]]",False,True
0,0,0,"[1, 2]",-10,-6,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [4 2 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [4 2 0 0]]",False,True
0,0,0,"[1, 2]",-10,-16,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [4 2 0 0]]","[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [4 2 0 0]]",False,True
0,0,2,"[1, 2]",0,-16,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [4 2 0 0]]","[[0 0 0 0]
 [2 0 0 0]
 [0 0 0 0]
 [0 0 4 2]]",False,True
0,0,0,"[0, 1, 2, 3]",0,-16,"[[0 0 0 0]
 [2 0 0 0]
 [0 0 0 0]
 [0 0 4 2]]","[[0 0 0 0]
 [2 4 0 0]
 [0 0 0 0]
 [4 2 0 0]]",False,True
0,0,0,"[1, 2, 3]",-10,-26,"[[0 0 0 0]
 [2 4 0 0]
 [0 0 0 0]
 [4 2 0 0]]","[[0 0 0 0]
 [2 4 0 0]
 [0 0 0 0]
 [4 2 0 0]]",False,True
0,0,2,"[1, 2, 3]",0,-26,"[[0 0 0 0]
 [2 4 0 0]
 [0 0 0 0]
 [4 2 0 0]]","[[0 0 0 0]
 [0 0 2 4]
 [0 4 0 0]
 [0 0 4 2]]",False,True
0,0,2,"[0, 1, 2, 3]",0,-26,"[[0 0 0 0]
 [0 0 2 4]
 [0 4 0 0]
 [0 0 4 2]]","[[0 0 0 0]
 [0 0 2 4]
 [0 0 0 4]
 [0 4 4 2]]",False,True
0,0,1,"[0, 1, 2, 3]",8,-18,"[[0 0 0 0]
 [0 0 2 4]
 [0 0 0 4]
 [0 4 4 2]]","[[0 4 2 8]
 [0 0 4 2]
 [0 0 0 0]
 [0 0 0 2]]",False,True
0,0,3,"[0, 1, 3]",4,-14,"[[0 4 2 8]
 [0 0 4 2]
 [0 0 0 0]
 [0 0 0 2]]","[[0 0 0 0]
 [0 0 0 0]
 [0 0 2 8]
 [2 4 4 4]]",False,True
0,0,1,"[0, 1, 2]",0,-14,"[[0 0 0 0]
 [0 0 0 0]
 [0 0 2 8]
 [2 4 4 4]]","[[2 4 2 8]
 [2 0 4 4]
 [0 0 0 0]
 [0 0 0 0]]",False,True
0,0,2,"[0, 1, 2, 3]",8,-6,"[[2 4 2 8]
 [2 0 4 4]
 [0 0 0 0]
 [0 0 0 0]]","[[2 4 2 8]
 [0 0 2 8]
 [0 0 0 0]
 [0 0 2 0]]",False,True
0,0,1,"[0, 1, 2, 3]",20,14,"[[2 4 2 8]
 [0 0 2 8]
 [0 0 0 0]
 [0 0 2 0]]","[[ 2  4  4 16]
 [ 0  0  2  0]
 [ 0  0  0  0]
 [ 0  0  0  2]]",False,True
0,0,0,"[0, 1, 2, 3]",8,22,"[[ 2  4  4 16]
 [ 0  0  2  0]
 [ 0  0  0  0]
 [ 0  0  0  2]]","[[ 2  8 16  0]
 [ 2  0  0  2]
 [ 0  0  0  0]
 [ 2  0  0  0]]",False,True
0,0,1,"[0, 1, 2, 3]",4,26,"[[ 2  8 16  0]
 [ 2  0  0  2]
 [ 0  0  0  0]
 [ 2  0  0  0]]","[[ 4  8 16  2]
 [ 2  2  0  0]
 [ 0  0  0  0]
 [ 0  0  0  0]]",False,True
0,0,3,"[0, 2, 3]",0,26,"[[ 4  8 16  2]
 [ 2  2  0  0]
 [ 0  0  0  0]
 [ 0  0  0  0]]","[[ 0  2  0  0]
 [ 0  0  0  0]
 [ 4  8  0  0]
 [ 2  2 16  2]]",False,True
0,0,0,"[0, 1, 2, 3]",4,30,"[[ 0  2  0  0]
 [ 0  0  0  0]
 [ 4  8  0  0]
 [ 2  2 16  2]]","[[ 2  0  0  0]
 [ 0  0  2  0]
 [ 4  8  0  0]
 [ 4 16  2  0]]",False,True
0,0,3,"[0, 1, 2, 3]",12,42,"[[ 2  0  0  0]
 [ 0  0  2  0]
 [ 4  8  0  0]
 [ 4 16  2  0]]","[[ 2  0  0  0]
 [ 0  0  0  0]
 [ 2  8  0  0]
 [ 8 16  4  0]]",False,True
0,0,3,"[1, 2, 3]",4,46,"[[ 2  0  0  0]
 [ 0  0  0  0]
 [ 2  8  0  0]
 [ 8 16  4  0]]","[[ 0  0  2  0]
 [ 0  0  0  0]
 [ 4  8  0  0]
 [ 8 16  4  0]]",False,True
0,0,1,"[0, 1, 2, 3]",0,46,"[[ 0  0  2  0]
 [ 0  0  0  0]
 [ 4  8  0  0]
 [ 8 16  4  0]]","[[ 4  8  2  0]
 [ 8 16  4  0]
 [ 0  0  0  0]
 [ 4  0  0  0]]",False,True
0,0,3,"[1, 2, 3]",0,46,"[[ 4  8  2  0]
 [ 8 16  4  0]
 [ 0  0  0  0]
 [ 4  0  0  0]]","[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 8  8  2  0]
 [ 4 16  4  0]]",False,True
0,0,1,"[0, 1, 2]",0,46,"[[ 2  0  0  0]
 [ 4  0  0  0]
 [ 8  8  2  0]
 [ 4 16  4  0]]","[[ 2  8  2  0]
 [ 4 16  4  0]
 [ 8  0  0  0]
 [ 4  2  0  0]]",False,True
0,0,3,"[1, 2, 3]",0,46,"[[ 2  8  2  0]
 [ 4 16  4  0]
 [ 8  0  0  0]
 [ 4  2  0  0]]","[[ 2  0  0  0]
 [ 4  8  0  2]
 [ 8 16  2  0]
 [ 4  2  4  0]]",False,True
0,0,3,"[0, 1, 2, 3]",0,46,"[[ 2  0  0  0]
 [ 4  8  0  2]
 [ 8 16  2  0]
 [ 4  2  4  0]]","[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]",False,True
0,0,0,"[1, 2]",-10,36,"[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]","[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]",False,True
0,0,3,"[1, 2]",-10,26,"[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]","[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]",False,True
0,0,3,"[1, 2]",-10,16,"[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]","[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]",False,False
0,0,1,"[1, 2]",0,16,"[[ 2  0  0  0]
 [ 4  8  0  0]
 [ 8 16  2  4]
 [ 4  2  4  2]]","[[ 2  8  2  4]
 [ 4 16  4  2]
 [ 8  2  0  0]
 [ 4  0  0  2]]",False,True
0,0,2,"[0, 1, 2, 3]",0,16,"[[ 2  8  2  4]
 [ 4 16  4  2]
 [ 8  2  0  0]
 [ 4  0  0  2]]","[[ 2  8  2  4]
 [ 4 16  4  2]
 [ 0  2  8  2]
 [ 0  0  4  2]]",False,True
0,0,2,"[0, 1, 3]",-10,6,"[[ 2  8  2  4]
 [ 4 16  4  2]
 [ 0  2  8  2]
 [ 0  0  4  2]]","[[ 2  8  2  4]
 [ 4 16  4  2]
 [ 0  2  8  2]
 [ 0  0  4  2]]",False,True
0,0,1,"[0, 1, 3]",4,10,"[[ 2  8  2  4]
 [ 4 16  4  2]
 [ 0  2  8  2]
 [ 0  0  4  2]]","[[ 2  8  2  4]
 [ 4 16  4  4]
 [ 0  2  8  2]
 [ 2  0  4  0]]",False,True
0,0,1,"[0, 1, 2, 3]",8,18,"[[ 2  8  2  4]
 [ 4 16  4  4]
 [ 0  2  8  2]
 [ 2  0  4  0]]","[[ 2  8  2  8]
 [ 4 16  4  2]
 [ 2  2  8  0]
 [ 4  0  4  0]]",False,True
