Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,0,"[0, 2, 3]","[0.03199705109000206, 0.007114320993423462, 0.0061772167682647705, -0.03215496987104416]",2.6,2.6,"[[0 2 2 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 0]]","[[4 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 2]]",False
0,0,0,"[0, 1, 2, 3]","[0.12631498277187347, -0.03323306143283844, 0.03165820986032486, -0.1153469830751419]",0.2,2.8000000000000003,"[[4 0 0 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 0 0 2]]","[[4 0 0 0]
 [0 0 2 0]
 [0 0 0 0]
 [2 0 0 0]]",False
0,0,2,"[0, 1, 2, 3]","[0.18891237676143646, 0.0005902647972106934, 0.027221621945500374, -0.1438143253326416]",0.2,3.0000000000000004,"[[4 0 0 0]
 [0 0 2 0]
 [0 0 0 0]
 [2 0 0 0]]","[[2 0 0 4]
 [0 0 0 2]
 [0 0 0 0]
 [0 0 0 2]]",False
0,0,0,"[0, 1, 2, 3]","[0.12385359406471252, 0.027346953749656677, 0.02253291942179203, -0.08616343140602112]",0.2,3.2000000000000006,"[[2 0 0 4]
 [0 0 0 2]
 [0 0 0 0]
 [0 0 0 2]]","[[2 4 0 0]
 [2 0 0 0]
 [0 0 2 0]
 [2 0 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[0.17134647071361542, -0.013564854860305786, -0.003644440323114395, -0.12567785382270813]",0.2,3.400000000000001,"[[2 4 0 0]
 [2 0 0 0]
 [0 0 2 0]
 [2 0 0 0]]","[[2 4 0 0]
 [2 2 0 0]
 [2 0 0 0]
 [2 0 0 0]]",False
0,0,3,"[0, 1, 2, 3]","[0.13017679750919342, -0.009234711527824402, 0.017615139484405518, -0.09782811999320984]",1.0,4.4,"[[2 4 0 0]
 [2 2 0 0]
 [2 0 0 0]
 [2 0 0 0]]","[[0 0 0 0]
 [2 0 0 0]
 [4 4 0 0]
 [4 2 0 0]]",False
0,0,1,"[0, 1, 2, 3]","[0.12366892397403717, 0.04581514745950699, 0.03929677605628967, -0.0925101786851883]",4.1,8.5,"[[0 0 0 0]
 [2 0 0 0]
 [4 4 0 0]
 [4 2 0 0]]","[[2 4 0 0]
 [8 2 4 0]
 [0 0 0 0]
 [0 0 0 0]]",False
0,0,1,"[1, 2, 3]","[0.34279853105545044, -0.017607837915420532, 0.07385489344596863, -0.2604207694530487]",0.30000000000000004,8.8,"[[2 4 0 0]
 [8 2 4 0]
 [0 0 0 0]
 [0 0 0 0]]","[[2 4 4 0]
 [8 2 0 0]
 [0 0 0 0]
 [0 2 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[0.20331881940364838, 0.040191978216171265, 0.03182816877961159, -0.18821981549263]",1.1,9.9,"[[2 4 4 0]
 [8 2 0 0]
 [0 0 0 0]
 [0 2 0 0]]","[[2 8 0 0]
 [8 2 0 0]
 [0 0 0 2]
 [2 0 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[0.31587058305740356, 0.06093303859233856, 0.03350941836833954, -0.2337043434381485]",0.30000000000000004,10.200000000000001,"[[2 8 0 0]
 [8 2 0 0]
 [0 0 0 2]
 [2 0 0 0]]","[[2 8 0 0]
 [8 2 0 0]
 [2 0 0 2]
 [2 0 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[0.28128552436828613, 0.027829617261886597, 0.019064810127019882, -0.23019367456436157]",0.7000000000000001,10.9,"[[2 8 0 0]
 [8 2 0 0]
 [2 0 0 2]
 [2 0 0 0]]","[[2 8 0 0]
 [8 2 0 0]
 [4 0 0 0]
 [2 2 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[0.2753845453262329, -0.026644378900527954, -0.004949074238538742, -0.2313004434108734]",0.7000000000000001,11.6,"[[2 8 0 0]
 [8 2 0 0]
 [4 0 0 0]
 [2 2 0 0]]","[[2 8 0 0]
 [8 2 0 0]
 [4 0 0 0]
 [4 2 0 0]]",False
0,0,1,"[1, 2, 3]","[0.28876522183418274, -0.027898650616407394, -0.012924857437610626, -0.2275872826576233]",1.5,13.1,"[[2 8 0 0]
 [8 2 0 0]
 [4 0 0 0]
 [4 2 0 0]]","[[2 8 0 0]
 [8 4 0 2]
 [8 0 0 0]
 [0 0 0 0]]",False
0,0,3,"[0, 1, 2, 3]","[0.23579497635364532, -0.02984403260052204, 0.017937172204256058, -0.24711352586746216]",6.0,19.1,"[[2 8 0 0]
 [8 4 0 2]
 [8 0 0 0]
 [0 0 0 0]]","[[ 0  0  0  0]
 [ 2  0  0  0]
 [ 2  8  0  0]
 [16  4  0  2]]",False
0,0,0,"[0, 1, 2, 3]","[0.41567331552505493, 0.12685725092887878, 0.1267397254705429, -0.2684052884578705]",0.4,19.5,"[[ 0  0  0  0]
 [ 2  0  0  0]
 [ 2  8  0  0]
 [16  4  0  2]]","[[ 0  2  0  0]
 [ 2  0  0  0]
 [ 2  8  0  0]
 [16  4  2  0]]",False
0,0,2,"[0, 1, 2, 3]","[0.44106125831604004, 0.1153840571641922, 0.1319103091955185, -0.27335014939308167]",0.4,19.9,"[[ 0  2  0  0]
 [ 2  0  0  0]
 [ 2  8  0  0]
 [16  4  2  0]]","[[ 0  2  0  2]
 [ 0  0  0  2]
 [ 0  0  2  8]
 [ 0 16  4  2]]",False
0,0,3,"[0, 1, 2, 3]","[0.4973735511302948, -0.07124269008636475, 0.17801286280155182, -0.45898306369781494]",0.8,20.7,"[[ 0  2  0  2]
 [ 0  0  0  2]
 [ 0  0  2  8]
 [ 0 16  4  2]]","[[ 0  0  0  0]
 [ 0  2  0  4]
 [ 0  2  2  8]
 [ 0 16  4  2]]",False
0,0,1,"[0, 1, 2, 3]","[0.35857588052749634, -0.01073727011680603, 0.09684374928474426, -0.37373706698417664]",0.8,21.5,"[[ 0  0  0  0]
 [ 0  2  0  4]
 [ 0  2  2  8]
 [ 0 16  4  2]]","[[ 0  4  2  4]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  0  0  2]]",False
0,0,0,"[0, 1, 3]","[0.2563948333263397, 0.05254024267196655, 0.039926767349243164, -0.35502079129219055]",0.4,21.9,"[[ 0  4  2  4]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  0  0  2]]","[[ 4  2  4  0]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 2  0  0  2]]",False
0,0,0,"[0, 1, 2, 3]","[0.5857637524604797, -0.018038809299468994, 0.15655671060085297, -0.5065604448318481]",0.8,22.7,"[[ 4  2  4  0]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 2  0  0  2]]","[[ 4  2  4  2]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 4  0  0  0]]",False
0,0,2,"[2, 3]","[0.5922080278396606, -0.0035667046904563904, 0.13702955842018127, -0.5249374508857727]",0.4,23.099999999999998,"[[ 4  2  4  2]
 [16  4  8  0]
 [ 2  0  0  0]
 [ 4  0  0  0]]","[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  2  0  4]]",False
0,0,2,"[0, 1, 2, 3]","[0.28052857518196106, 0.06185922026634216, 0.02589627355337143, -0.3978068232536316]",0.4,23.499999999999996,"[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  0  2]
 [ 0  2  0  4]]","[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  2  2]
 [ 0  0  2  4]]",False
0,0,3,"[0, 1, 2, 3]","[0.300343781709671, 0.021449849009513855, 0.04748404398560524, -0.43563249707221985]",1.6,25.099999999999998,"[[ 4  2  4  2]
 [ 0 16  4  8]
 [ 0  0  2  2]
 [ 0  0  2  4]]","[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]",False
0,0,3,"[0, 1, 2]","[0.4529860019683838, -0.20036375522613525, 0.14095817506313324, -0.5437581539154053]",-1,24.099999999999998,"[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]","[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]",False
0,0,0,"[0, 1, 2]","[0.4529860019683838, -0.20036375522613525, 0.14095817506313324, -0.5437581539154053]",1.6,25.7,"[[ 0  0  0  2]
 [ 0  0  0  8]
 [ 2  2  8  2]
 [ 4 16  4  4]]","[[ 2  4  0  0]
 [ 8  0  0  0]
 [ 4  8  2  0]
 [ 4 16  8  0]]",False
