Episode,Total Reward,Max Value,Loss
0,916,64,8.595396995544434
1,1228,128,32.748661041259766
2,1604,128,7.439755439758301
3,1064,128,5.68971061706543
4,760,64,7.758304595947266
5,740,64,4.971674919128418
6,1120,128,5.448283672332764
7,600,64,5.749068260192871
8,1024,128,7.290416717529297
9,1304,128,12.086155891418457
10,888,64,6.156330108642578
11,1532,128,17.08905601501465
12,636,64,7.275301456451416
13,1320,128,6.89323091506958
14,1168,128,9.594501495361328
15,572,64,8.029999732971191
16,1288,128,9.483843803405762
17,1276,128,19.868940353393555
18,1068,128,12.102879524230957
19,708,64,10.214057922363281
20,1304,128,10.614765167236328
21,204,16,4.674214839935303
22,604,64,9.246466636657715
23,1604,128,16.72254753112793
24,2332,256,11.010245323181152
25,908,64,6.002043724060059
26,1384,128,16.48496437072754
27,416,32,7.1962690353393555
28,1348,128,7.295690536499023
29,628,64,10.924330711364746
30,892,128,8.745950698852539
31,332,32,7.128688335418701
32,868,64,11.420787811279297
33,664,64,6.222364902496338
34,692,64,13.045844078063965
35,532,64,5.676941394805908
36,1572,128,7.98382043838501
37,556,32,7.209999084472656
38,740,64,6.531805992126465
39,1664,128,10.99859619140625
40,1336,128,13.17809009552002
41,1500,128,6.539224624633789
42,2156,256,25.940093994140625
43,392,32,6.2632060050964355
44,1004,64,7.576229572296143
45,816,64,8.534501075744629
46,1260,128,9.754104614257812
47,1084,128,9.13748550415039
48,1204,128,6.238734245300293
49,1112,128,7.628600597381592
50,1392,128,9.538870811462402
51,796,64,6.246941566467285
52,1036,64,5.821666717529297
53,744,64,5.869671821594238
54,1404,128,16.392576217651367
55,1344,128,16.75481605529785
56,664,64,5.763661861419678
57,600,64,6.164592742919922
58,700,64,6.027298450469971
59,2292,256,11.078237533569336
60,1832,128,9.076583862304688
61,2364,256,9.599364280700684
62,1340,128,6.976378440856934
63,2308,256,7.822393417358398
64,1060,128,6.945140361785889
65,1404,128,8.997153282165527
66,600,64,8.110587120056152
67,668,64,7.477353572845459
68,360,32,5.097479820251465
69,400,32,5.507409572601318
70,980,64,6.246431350708008
71,612,64,4.981418609619141
72,1400,128,6.271442413330078
73,1188,128,8.652108192443848
74,1416,128,6.03555154800415
75,1444,128,7.058115005493164
76,1228,128,7.939828872680664
77,260,32,4.771572113037109
78,272,32,5.429900646209717
79,536,64,6.85562801361084
80,656,64,6.049534320831299
81,612,64,6.388696670532227
82,1348,128,8.756534576416016
83,504,64,6.23644495010376
84,1416,128,6.435772895812988
85,704,64,6.407353401184082
86,220,32,5.576117992401123
87,1344,128,11.219807624816895
88,1524,128,5.501564025878906
89,560,32,5.326211929321289
90,812,64,5.892850399017334
91,564,64,5.80706262588501
92,660,64,6.152373313903809
93,1316,128,6.712857246398926
94,1480,128,6.304567337036133
95,556,64,5.417270660400391
96,816,64,5.883006572723389
97,2680,256,9.011394500732422
98,1068,128,7.963135719299316
99,1372,128,7.326416969299316
100,1332,128,5.736495018005371
101,400,32,4.944881916046143
102,380,32,5.54223108291626
103,1792,128,12.516558647155762
104,1160,128,8.130647659301758
105,856,64,5.473292827606201
106,696,64,6.015434741973877
107,1476,128,6.695804119110107
108,960,128,12.641877174377441
109,1500,128,8.1575927734375
110,1320,128,8.676403999328613
111,472,64,4.9464111328125
112,1360,128,6.495397090911865
113,840,64,5.564964294433594
114,644,64,6.379505634307861
115,1664,128,6.511440277099609
116,2656,256,6.799352645874023
117,716,64,6.312985420227051
118,2056,128,6.466536045074463
119,1240,128,6.383251667022705
120,1832,128,6.09840202331543
121,1012,128,6.176393508911133
122,1580,128,5.719408988952637
123,880,64,6.720349311828613
124,732,64,6.805422782897949
125,1488,128,7.253147125244141
126,932,64,6.325431823730469
127,568,64,6.349795341491699
128,852,64,5.519144535064697
129,1128,128,6.290393829345703
130,1160,128,12.994080543518066
131,1100,128,5.9172749519348145
132,1128,128,6.212503910064697
133,968,128,12.437685012817383
134,1052,128,7.940372943878174
135,1028,128,6.301416873931885
136,1200,128,6.40885066986084
137,1312,128,6.6264119148254395
138,648,64,5.636312484741211
139,1116,128,5.848905086517334
140,1028,64,5.483175277709961
141,992,128,5.5311689376831055
142,316,32,5.130358695983887
143,1672,128,5.6763200759887695
144,704,64,7.679264545440674
145,540,64,5.695189476013184
146,340,32,5.637418270111084
147,1528,128,5.711914539337158
148,996,64,5.286306381225586
149,936,64,7.1139326095581055
150,2328,256,10.85135555267334
151,396,32,4.7336554527282715
152,1388,128,9.991641998291016
153,2068,256,7.0696635246276855
154,860,64,5.721974849700928
155,912,64,6.879541873931885
156,1408,128,6.292163372039795
157,1212,128,6.376092433929443
158,940,128,7.486508369445801
159,1436,128,7.443967342376709
160,788,64,5.914599895477295
161,1192,128,6.328996181488037
162,304,32,4.780167579650879
163,708,64,6.085871696472168
164,1516,128,8.858945846557617
165,1012,64,5.6124725341796875
166,1396,128,7.1205668449401855
167,1316,128,9.230135917663574
168,636,64,5.700437068939209
169,588,64,5.350402355194092
170,568,64,5.544230937957764
171,156,16,4.274263381958008
172,1116,128,6.346718788146973
173,1232,128,6.014854907989502
174,1420,128,6.733890533447266
175,1228,128,5.814976215362549
176,1368,128,6.716246604919434
177,1104,128,6.884428977966309
178,628,64,5.473900318145752
179,1100,128,5.612112045288086
180,616,64,5.647286891937256
181,372,32,4.362755298614502
182,1212,128,6.188353538513184
183,2708,256,6.242682933807373
184,1500,128,5.963651657104492
185,1064,128,5.8960347175598145
186,1364,128,5.673422336578369
187,968,128,6.045945167541504
188,244,32,5.0316057205200195
189,1336,128,6.512683868408203
190,1540,128,5.199762344360352
191,712,64,5.496834754943848
192,364,32,4.763184547424316
193,1744,128,5.941644191741943
194,704,64,7.114996433258057
195,1528,128,6.041111946105957
196,1148,128,8.04190444946289
197,1168,128,6.24172830581665
198,888,64,5.262825012207031
199,1036,128,7.98843240737915
200,2296,256,6.45383358001709
201,1220,128,8.06356430053711
202,1204,128,7.246593952178955
203,988,64,5.170770168304443
204,1340,128,5.306628704071045
205,760,64,5.282667636871338
206,1580,128,6.224912643432617
207,816,64,6.836565971374512
208,1612,128,6.952902793884277
209,736,64,5.5338335037231445
210,1096,128,5.8849406242370605
211,824,64,5.788477420806885
212,1060,128,5.436134338378906
213,1048,64,5.309215545654297
214,1140,128,6.206898212432861
215,2408,256,7.850977897644043
216,704,64,6.800023078918457
217,2264,256,5.75881290435791
218,2192,256,5.4112019538879395
219,312,32,5.007307529449463
220,480,32,5.3257551193237305
221,2884,256,6.45012092590332
222,1332,128,5.3290205001831055
223,344,32,4.798692226409912
224,592,64,7.180482387542725
225,852,64,5.448599338531494
226,428,32,5.105700492858887
227,824,64,6.493969440460205
228,928,64,6.194308280944824
229,624,64,5.2894978523254395
230,1408,128,5.4949517250061035
231,600,64,6.009619235992432
232,684,64,5.0949811935424805
233,1104,128,5.56165075302124
234,1072,64,6.314789772033691
235,360,32,5.11668586730957
236,808,64,5.178530693054199
237,800,64,5.255958080291748
238,1340,128,6.288101673126221
239,968,64,6.016854286193848
240,588,64,5.414016246795654
241,1012,128,5.401881694793701
242,448,32,4.68620491027832
243,632,64,7.096473693847656
244,1068,64,5.55424690246582
245,596,64,6.48931884765625
