Episode,Total Reward,Max Value,Loss
0,516,32,4.819561004638672
1,752,64,3.181525945663452
2,568,64,6.681210517883301
3,620,64,4.404803276062012
4,2384,256,7.728466987609863
5,1404,128,8.64382553100586
6,648,64,4.3933186531066895
7,1300,128,7.606324195861816
8,816,64,4.556282997131348
9,600,64,5.006025791168213
10,1000,64,5.162326335906982
11,1352,128,5.606878280639648
12,556,64,4.7691264152526855
13,1156,128,5.839250564575195
14,888,128,6.46830940246582
15,672,64,3.3465006351470947
16,1424,128,4.762992858886719
17,608,64,3.4104835987091064
18,1644,128,5.4581685066223145
19,696,64,5.167163372039795
20,852,64,4.727301597595215
21,1212,128,4.516978740692139
22,792,64,3.7060394287109375
23,528,64,4.107908248901367
24,424,32,3.3579394817352295
25,2344,256,7.93222188949585
26,688,64,3.8293380737304688
27,616,64,3.7853493690490723
28,596,64,3.5643365383148193
29,1620,128,4.270804405212402
30,2468,256,4.994833469390869
31,1072,128,6.052129745483398
32,2000,128,4.32774019241333
33,1048,128,4.411118984222412
34,768,64,3.4537923336029053
35,1452,128,4.508786201477051
36,1416,128,4.4361982345581055
37,920,64,5.300625324249268
38,800,64,3.9271650314331055
39,1136,128,4.486064434051514
40,196,32,3.0954020023345947
41,1216,128,3.8383045196533203
42,576,64,3.671335458755493
43,532,64,4.590785503387451
44,1396,128,4.590212345123291
45,584,64,2.8943774700164795
46,1256,128,4.555838108062744
47,412,32,3.7296230792999268
48,836,64,5.088147163391113
49,2088,256,5.5542497634887695
50,332,32,3.4623303413391113
51,636,64,3.4647696018218994
52,1524,128,4.29899263381958
53,1380,128,4.247889995574951
54,2128,256,7.319286823272705
55,1224,128,4.9823198318481445
56,640,64,2.778895616531372
57,256,16,3.1787943840026855
58,984,128,3.451507091522217
59,1204,128,4.817633628845215
60,292,32,2.7642898559570312
61,1220,128,5.0986762046813965
62,1396,128,2.8514084815979004
63,1564,128,5.82041072845459
64,836,64,4.677581787109375
65,984,64,3.468428134918213
66,904,64,3.582312822341919
67,1300,128,4.001956462860107
68,588,64,3.0197155475616455
69,736,64,2.6538467407226562
70,1120,128,3.327357292175293
71,680,64,2.749126672744751
72,692,64,3.7488131523132324
73,1064,64,3.3251287937164307
74,1304,128,2.981689691543579
75,676,64,2.6994411945343018
76,1128,128,3.3951594829559326
77,1868,128,3.200793743133545
78,1532,128,3.364250659942627
79,1308,128,3.862330436706543
80,1556,128,3.6600632667541504
81,652,64,2.724921226501465
82,364,32,2.5161519050598145
83,536,64,2.2204623222351074
84,1320,128,3.154634475708008
85,748,64,3.462336540222168
86,1344,128,3.525428295135498
87,1268,128,3.108975648880005
88,1132,128,2.7974276542663574
89,1568,128,3.476262331008911
90,564,64,2.53918719291687
91,636,64,2.725104808807373
92,1480,128,3.298549175262451
93,384,32,2.6415107250213623
94,1144,128,4.48974609375
95,588,64,2.649129867553711
96,1004,128,3.693347215652466
97,736,64,2.9146862030029297
98,256,32,2.377241373062134
99,384,32,2.3815760612487793
100,2044,256,4.3255534172058105
101,1312,128,4.796882152557373
102,532,64,2.679044485092163
103,1384,128,3.2617385387420654
104,880,64,2.334414482116699
105,1108,128,2.9388577938079834
106,400,32,2.889793634414673
107,1620,128,3.0816876888275146
108,824,64,2.6616098880767822
109,1080,64,2.532186985015869
110,1084,128,3.3418829441070557
111,656,64,2.651184558868408
112,384,32,1.8881158828735352
113,324,32,1.8858416080474854
114,280,32,1.866426944732666
115,1384,128,2.837308406829834
116,1128,128,2.42290997505188
117,620,64,2.2531213760375977
118,1252,128,3.2762062549591064
119,1092,128,2.2919397354125977
120,484,64,2.5499768257141113
121,1448,128,3.5405449867248535
122,613.69,64,3.00628662109375
123,704,64,2.4810502529144287
124,708,64,2.7077908515930176
125,436,32,2.2301692962646484
126,2416.4641119000003,256,3.674097776412964
127,1533.2843900000003,128,2.970794916152954
128,972,64,2.738875389099121
129,616,64,2.479480504989624
130,1474.9,128,2.559598207473755
131,1424,128,2.6389081478118896
132,1286.9,128,2.9083752632141113
133,1420,128,2.8207364082336426
134,692,64,2.4559221267700195
135,1168,64,2.398414373397827
136,628,64,1.8607509136199951
137,276,32,1.7829803228378296
138,500,64,2.0716381072998047
139,724,64,3.0081348419189453
140,1488,128,2.892134189605713
141,860,64,2.2953338623046875
142,1200,128,2.6123745441436768
143,1396,128,2.5522549152374268
144,488,32,2.4665563106536865
145,692,64,2.426387310028076
146,100,16,1.101534366607666
147,1088,128,2.991405725479126
148,1092,64,2.701510190963745
149,380,32,2.003699541091919
150,2676,256,3.721221923828125
151,354.9,32,1.9390102624893188
152,2346.9,256,3.4843649864196777
153,1282.9,128,2.654632806777954
154,980,64,2.3085453510284424
155,956,64,2.390226364135742
156,376,32,2.3317580223083496
157,2356,256,2.785886764526367
158,468,32,2.3050289154052734
159,1328,128,2.5036370754241943
160,488,64,2.2779018878936768
161,626.9,64,2.0421457290649414
162,316,32,1.6764501333236694
163,1256,128,2.43760347366333
164,664,64,2.0432260036468506
165,632.3589999999999,64,2.1693832874298096
166,1396,128,2.164433717727661
167,282.8949,32,1.5235328674316406
168,1304.5900000000001,128,2.228543758392334
169,728,64,2.2644083499908447
170,1349.5641119,128,2.0299670696258545
171,412,32,1.6193252801895142
172,740,64,2.157512664794922
173,604.359,64,1.8544107675552368
174,460,64,1.5586910247802734
175,864,64,1.9396663904190063
176,1452.5433899999998,128,2.3202242851257324
177,716,64,2.2416481971740723
178,1733.69,128,2.0635664463043213
179,718.4688329388999,64,2.091468095779419
180,1056,64,1.9958033561706543
181,364,32,1.5731613636016846
182,548,64,1.6472833156585693
183,1185.5641119,128,2.0590550899505615
184,556,64,2.3241872787475586
185,1316,128,1.9106420278549194
186,1074.9,128,3.0145163536071777
187,1376.1792900000005,128,2.077230930328369
188,3010.1590000000006,256,2.3837063312530518
