Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,1,"[0, 1, 2, 3]","[-0.00898513663560152, 0.0035637812688946724, 0.012877033092081547, 0.013650774955749512]",1.1,1.1,"[[0 0 0 0]
 [0 0 2 0]
 [0 2 0 0]
 [0 0 0 0]]","[[0 2 2 0]
 [0 0 0 0]
 [0 2 0 0]
 [0 0 0 0]]",False
0,0,3,"[0, 1, 2, 3]","[-0.008667189627885818, 0.007429794408380985, 0.012972460128366947, 0.019521567970514297]",2.6,3.7,"[[0 2 2 0]
 [0 0 0 0]
 [0 2 0 0]
 [0 0 0 0]]","[[0 0 2 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 4 2 0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.016611112281680107, 0.007622780278325081, 0.024277588352560997, 0.026631083339452744]",0.2,3.9000000000000004,"[[0 0 2 0]
 [0 0 0 0]
 [0 0 0 0]
 [0 4 2 0]]","[[0 0 0 2]
 [0 0 0 0]
 [0 0 2 0]
 [0 0 4 2]]",False
0,0,1,"[0, 1, 2, 3]","[-0.008876235224306583, -0.019579757004976273, 0.0005200915038585663, 0.016211489215493202]",0.6000000000000001,4.5,"[[0 0 0 2]
 [0 0 0 0]
 [0 0 2 0]
 [0 0 4 2]]","[[2 0 2 4]
 [0 0 4 0]
 [0 0 0 0]
 [0 0 0 0]]",False
0,0,1,"[0, 2, 3]","[-0.014123497530817986, 0.01805456355214119, 0.022885415703058243, 0.04056820273399353]",-1,3.5,"[[2 0 2 4]
 [0 0 4 0]
 [0 0 0 0]
 [0 0 0 0]]","[[2 0 2 4]
 [0 0 4 0]
 [0 0 0 0]
 [0 0 0 0]]",False
0,0,2,"[0, 2, 3]","[-0.014123497530817986, 0.01805456355214119, 0.022885415703058243, 0.04056820273399353]",0.6000000000000001,4.1,"[[2 0 2 4]
 [0 0 4 0]
 [0 0 0 0]
 [0 0 0 0]]","[[0 0 4 4]
 [0 0 2 4]
 [0 0 0 0]
 [0 0 0 0]]",False
0,0,3,"[0, 1, 2, 3]","[-0.03128543496131897, 0.010954845696687698, 0.04628271982073784, 0.0439552441239357]",4.1,8.2,"[[0 0 4 4]
 [0 0 2 4]
 [0 0 0 0]
 [0 0 0 0]]","[[0 0 0 2]
 [0 0 0 0]
 [0 0 4 0]
 [0 0 2 8]]",False
0,0,3,"[0, 1, 2, 3]","[-0.01767992042005062, -0.02772577293217182, 0.004444176331162453, 0.012496531009674072]",0.30000000000000004,8.5,"[[0 0 0 2]
 [0 0 0 0]
 [0 0 4 0]
 [0 0 2 8]]","[[0 0 0 0]
 [0 0 0 0]
 [2 0 4 2]
 [0 0 2 8]]",False
0,0,3,"[0, 1, 2, 3]","[-0.03381023183465004, -0.04013403132557869, 0.017534572631120682, 0.010136138647794724]",0.30000000000000004,8.8,"[[0 0 0 0]
 [0 0 0 0]
 [2 0 4 2]
 [0 0 2 8]]","[[0 0 0 0]
 [0 2 0 0]
 [0 0 4 2]
 [2 0 2 8]]",False
0,0,3,"[0, 1, 2, 3]","[-0.029579736292362213, -0.016535792499780655, 0.033567946404218674, 0.010537827387452126]",0.30000000000000004,9.100000000000001,"[[0 0 0 0]
 [0 2 0 0]
 [0 0 4 2]
 [2 0 2 8]]","[[0 0 0 0]
 [0 0 0 0]
 [0 2 4 2]
 [2 2 2 8]]",False
0,0,2,"[0, 1, 2, 3]","[-0.02895818091928959, -0.010742273181676865, 0.0303468219935894, 0.032936349511146545]",0.7000000000000001,9.8,"[[0 0 0 0]
 [0 0 0 0]
 [0 2 4 2]
 [2 2 2 8]]","[[0 0 0 0]
 [0 0 0 0]
 [2 2 4 2]
 [0 2 4 8]]",False
0,0,1,"[0, 1, 2, 3]","[-0.03866167366504669, -0.03142862394452095, 0.02819114923477173, 0.0321195125579834]",1.5,11.3,"[[0 0 0 0]
 [0 0 0 0]
 [2 2 4 2]
 [0 2 4 8]]","[[2 4 8 2]
 [0 4 0 8]
 [0 0 0 0]
 [0 0 0 0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.03545213118195534, -0.00936453603208065, 0.04941669851541519, 0.01606917940080166]",0.30000000000000004,11.600000000000001,"[[2 4 8 2]
 [0 4 0 8]
 [0 0 0 0]
 [0 0 0 0]]","[[2 4 8 2]
 [0 0 4 8]
 [0 0 4 0]
 [0 0 0 0]]",False
0,0,1,"[0, 1, 2, 3]","[-0.05862274020910263, 0.009287610650062561, 0.08337600529193878, 0.06585121154785156]",1.1,12.700000000000001,"[[2 4 8 2]
 [0 0 4 8]
 [0 0 4 0]
 [0 0 0 0]]","[[2 4 8 2]
 [0 0 8 8]
 [0 0 0 0]
 [0 0 0 2]]",False
