Episode,Action,Legal Moves,Q-Values,Reward,Total Reward,State,Next State,Done
0,0,2,"[0, 1, 2, 3]","[-0.03332208842039108, 0.004598610103130341, 0.018492139875888824, -0.02835109829902649]",1.8646446609406728,1.8646446609406728,"[[0 0 0 0]
 [0 0 2 0]
 [0 0 0 2]
 [0 0 0 0]]","[[0 0 0 0]
 [0 2 0 2]
 [0 0 0 2]
 [0 0 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[-0.04564175754785538, -0.0067727528512477875, 0.01832301914691925, -0.04963521659374237]",2.6489577737340912,4.513602434674764,"[[0 0 0 0]
 [0 2 0 2]
 [0 0 0 2]
 [0 0 0 0]]","[[0 0 0 0]
 [4 0 0 0]
 [2 0 0 0]
 [0 0 0 2]]",False
0,0,1,"[0, 1, 2, 3]","[-0.04078904539346695, 0.02704654633998871, 0.033042509108781815, 0.008386582136154175]",2.222495307668785,6.736097742343549,"[[0 0 0 0]
 [4 0 0 0]
 [2 0 0 0]
 [0 0 0 2]]","[[4 0 0 2]
 [2 0 0 4]
 [0 0 0 0]
 [0 0 0 0]]",False
0,0,3,"[0, 2, 3]","[-0.06724226474761963, -0.024491526186466217, 0.061557039618492126, -0.030402224510908127]",2.120943058495791,8.85704080083934,"[[4 0 0 2]
 [2 0 0 4]
 [0 0 0 0]
 [0 0 0 0]]","[[0 0 0 2]
 [0 0 0 0]
 [4 0 0 2]
 [2 0 0 4]]",False
0,0,2,"[0, 1, 2, 3]","[-0.0869232714176178, -0.0007952451705932617, 0.03681309521198273, -0.03944665193557739]",2.0104644327868315,10.86750523362617,"[[0 0 0 2]
 [0 0 0 0]
 [4 0 0 2]
 [2 0 0 4]]","[[2 0 0 2]
 [0 0 0 0]
 [0 0 4 2]
 [0 0 2 4]]",False
0,0,0,"[0, 1, 2, 3]","[-0.06373606622219086, 0.029898405075073242, 0.026696667075157166, 0.008824080228805542]",2.3268069013620205,13.194312134988191,"[[2 0 0 2]
 [0 0 0 0]
 [0 0 4 2]
 [0 0 2 4]]","[[4 2 0 0]
 [0 0 0 0]
 [4 2 0 0]
 [2 4 0 0]]",False
0,0,2,"[1, 2, 3]","[-0.06764340400695801, 0.06722786277532578, 0.012978561222553253, 0.01652480661869049]",1.9372503846397442,15.131562519627936,"[[4 2 0 0]
 [0 0 0 0]
 [4 2 0 0]
 [2 4 0 0]]","[[0 0 4 2]
 [0 0 2 0]
 [0 0 4 2]
 [0 0 2 4]]",False
0,0,0,"[0, 1, 2, 3]","[-0.05589430034160614, -0.010173499584197998, 0.03763977438211441, -0.02415279671549797]",1.8402451724775408,16.971807692105475,"[[0 0 4 2]
 [0 0 2 0]
 [0 0 4 2]
 [0 0 2 4]]","[[4 2 0 0]
 [2 0 0 0]
 [4 2 2 0]
 [2 4 0 0]]",False
0,0,0,"[0, 1, 2, 3]","[-0.08703379333019257, 0.034675031900405884, 0.009941481053829193, 0.012728437781333923]",2.138045884991627,19.109853577097102,"[[4 2 0 0]
 [2 0 0 0]
 [4 2 2 0]
 [2 4 0 0]]","[[4 2 0 0]
 [2 0 0 0]
 [4 4 0 0]
 [2 4 0 2]]",False
0,0,1,"[0, 1, 2, 3]","[-0.06246846169233322, 0.05555732548236847, 0.002535909414291382, 0.023609627038240433]",3.030106915036226,22.139960492133326,"[[4 2 0 0]
 [2 0 0 0]
 [4 4 0 0]
 [2 4 0 2]]","[[4 2 0 2]
 [2 8 0 2]
 [4 0 0 0]
 [2 0 0 0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.09351635724306107, -0.007543399930000305, 0.04636380448937416, -0.029621578752994537]",2.629371480751589,24.769331972884917,"[[4 2 0 2]
 [2 8 0 2]
 [4 0 0 0]
 [2 0 0 0]]","[[0 0 4 4]
 [0 2 8 2]
 [0 2 0 4]
 [0 0 0 2]]",False
0,0,1,"[0, 1, 2, 3]","[-0.12375214695930481, -0.022196710109710693, 0.030585840344429016, -0.09955265372991562]",2.640164300261874,27.40949627314679,"[[0 0 4 4]
 [0 2 8 2]
 [0 2 0 4]
 [0 0 0 2]]","[[0 4 4 4]
 [0 0 8 2]
 [2 0 0 4]
 [0 0 0 2]]",False
0,0,2,"[0, 1, 2, 3]","[-0.11836323142051697, -0.05225679278373718, 0.051279082894325256, -0.08897068351507187]",3.032415969195754,30.441912242342543,"[[0 4 4 4]
 [0 0 8 2]
 [2 0 0 4]
 [0 0 0 2]]","[[0 0 4 8]
 [0 0 8 2]
 [0 0 2 4]
 [0 0 2 2]]",False
0,0,2,"[0, 1, 2, 3]","[-0.14594054222106934, -0.05411561578512192, 0.06296232342720032, -0.1324717402458191]",2.642793859718232,33.08470610206078,"[[0 0 4 8]
 [0 0 8 2]
 [0 0 2 4]
 [0 0 2 2]]","[[0 0 4 8]
 [0 0 8 2]
 [0 0 2 4]
 [0 0 2 4]]",False
0,0,3,"[0, 1, 3]","[-0.13642224669456482, -0.08548995852470398, 0.08638465404510498, -0.12666216492652893]",3.4427938597182317,36.52749996177901,"[[0 0 4 8]
 [0 0 8 2]
 [0 0 2 4]
 [0 0 2 4]]","[[0 0 0 4]
 [0 0 4 8]
 [0 0 8 2]
 [0 0 4 8]]",False
0,0,0,"[0, 1]","[-0.1134868860244751, -0.04121798276901245, 0.02936658263206482, -0.07076993584632874]",2.346921662222555,38.87442162400156,"[[0 0 0 4]
 [0 0 4 8]
 [0 0 8 2]
 [0 0 4 8]]","[[4 0 0 0]
 [4 8 2 0]
 [8 2 0 0]
 [4 8 0 0]]",False
0,0,1,"[1, 2, 3]","[-0.14189696311950684, 0.13235712051391602, 0.014832496643066406, 0.06250026822090149]",3.0433813697155934,41.91780299371716,"[[4 0 0 0]
 [4 8 2 0]
 [8 2 0 0]
 [4 8 0 0]]","[[8 8 2 0]
 [8 2 0 0]
 [4 8 0 0]
 [0 0 0 2]]",False
0,0,0,"[0, 1, 2, 3]","[-0.1351526379585266, 0.04847002029418945, 0.12466314435005188, -0.006532192230224609]",4.336166168032751,46.25396916174991,"[[8 8 2 0]
 [8 2 0 0]
 [4 8 0 0]
 [0 0 0 2]]","[[16  2  0  0]
 [ 8  2  0  0]
 [ 4  8  0  0]
 [ 2  0  0  2]]",False
0,0,3,"[0, 1, 2, 3]","[-0.1473717838525772, 0.05729508399963379, 0.1493510752916336, 0.03897048532962799]",3.1343764644880996,49.38834562623801,"[[16  2  0  0]
 [ 8  2  0  0]
 [ 4  8  0  0]
 [ 2  0  0  2]]","[[16  0  0  0]
 [ 8  0  0  2]
 [ 4  4  0  0]
 [ 2  8  0  2]]",False
0,0,1,"[0, 1, 2, 3]","[-0.1893998384475708, 0.1835820972919464, 0.1045638918876648, 0.028881490230560303]",3.1269095257132156,52.51525515195122,"[[16  0  0  0]
 [ 8  0  0  2]
 [ 4  4  0  0]
 [ 2  8  0  2]]","[[16  4  0  4]
 [ 8  8  0  0]
 [ 4  0  0  2]
 [ 2  0  0  0]]",False
0,0,3,"[0, 1, 2, 3]","[-0.21505504846572876, 0.0019469261169433594, 0.2676807940006256, -0.024695873260498047]",2.726909525713215,55.24216467766444,"[[16  4  0  4]
 [ 8  8  0  0]
 [ 4  0  0  2]
 [ 2  0  0  0]]","[[16  0  0  0]
 [ 8  0  0  0]
 [ 4  4  0  4]
 [ 2  8  2  2]]",False
0,0,1,"[0, 1, 2]","[-0.18823590874671936, 0.12916484475135803, 0.12798406183719635, 0.029710710048675537]",2.6289647958784323,57.87112947354287,"[[16  0  0  0]
 [ 8  0  0  0]
 [ 4  4  0  4]
 [ 2  8  2  2]]","[[16  4  2  4]
 [ 8  8  0  2]
 [ 4  0  0  2]
 [ 2  0  0  0]]",False
0,0,1,"[0, 1, 2, 3]","[-0.22180938720703125, -0.01658308506011963, 0.24949097633361816, -0.029922842979431152]",2.9241254061056288,60.7952548796485,"[[16  4  2  4]
 [ 8  8  0  2]
 [ 4  0  0  2]
 [ 2  0  0  0]]","[[16  4  2  4]
 [ 8  8  0  4]
 [ 4  0  0  0]
 [ 2  2  0  0]]",False
0,0,0,"[0, 1, 2, 3]","[-0.2541470527648926, 0.032962799072265625, 0.24184930324554443, -0.045075058937072754]",4.5252758912144815,65.32053077086299,"[[16  4  2  4]
 [ 8  8  0  4]
 [ 4  0  0  0]
 [ 2  2  0  0]]","[[16  4  2  4]
 [16  4  0  2]
 [ 4  0  0  0]
 [ 4  0  0  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.31040966510772705, 0.008181095123291016, 0.1828378438949585, -0.04421675205230713]",2.6289647958784323,67.94949556674142,"[[16  4  2  4]
 [16  4  0  2]
 [ 4  0  0  0]
 [ 4  0  0  0]]","[[16  4  2  4]
 [ 2 16  4  2]
 [ 0  0  0  4]
 [ 0  0  0  4]]",False
0,0,1,"[0, 1, 3]","[-0.2215050458908081, 0.04056894779205322, 0.19701892137527466, -0.07751178741455078]",3.3313904893217554,71.28088605606317,"[[16  4  2  4]
 [ 2 16  4  2]
 [ 0  0  0  4]
 [ 0  0  0  4]]","[[16  4  2  4]
 [ 2 16  4  2]
 [ 2  0  0  8]
 [ 0  0  0  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.27891018986701965, 0.07083708047866821, 0.17025883495807648, -0.1281118392944336]",2.533838735398089,73.81472479146126,"[[16  4  2  4]
 [ 2 16  4  2]
 [ 2  0  0  8]
 [ 0  0  0  0]]","[[16  4  2  4]
 [ 2 16  4  2]
 [ 2  0  2  8]
 [ 0  0  0  0]]",False
0,0,2,"[0, 1, 2, 3]","[-0.27721503376960754, 0.05743570625782013, 0.17897869646549225, -0.13058988749980927]",2.8340973847673543,76.64882217622862,"[[16  4  2  4]
 [ 2 16  4  2]
 [ 2  0  2  8]
 [ 0  0  0  0]]","[[16  4  2  4]
 [ 2 16  4  2]
 [ 0  2  4  8]
 [ 0  0  0  0]]",False
0,0,1,"[0, 1, 3]","[-0.2448115050792694, 0.05913132429122925, 0.1950063556432724, -0.09105288982391357]",3.2373545225516964,79.88617669878032,"[[16  4  2  4]
 [ 2 16  4  2]
 [ 0  2  4  8]
 [ 0  0  0  0]]","[[16  4  2  4]
 [ 2 16  8  2]
 [ 0  2  2  8]
 [ 0  0  0  0]]",False
0,0,3,"[0, 2, 3]","[-0.26622843742370605, 0.0316314697265625, 0.2079150676727295, -0.1471484899520874]",2.4373545225516966,82.32353122133202,"[[16  4  2  4]
 [ 2 16  8  2]
 [ 0  2  2  8]
 [ 0  0  0  0]]","[[ 0  0  0  2]
 [ 0  4  2  4]
 [16 16  8  2]
 [ 2  2  2  8]]",False
0,0,2,"[0, 1, 2]","[-0.259847491979599, 0.20173735916614532, -0.012735500931739807, -0.023882411420345306]",6.4327604238809775,88.756291645213,"[[ 0  0  0  2]
 [ 0  4  2  4]
 [16 16  8  2]
 [ 2  2  2  8]]","[[ 0  2  0  2]
 [ 0  4  2  4]
 [ 0 32  8  2]
 [ 0  2  4  8]]",False
0,0,2,"[0, 1, 2]","[-0.15659628808498383, 0.021302834153175354, 0.03465051203966141, -0.0883236825466156]",3.336000658620998,92.092292303834,"[[ 0  2  0  2]
 [ 0  4  2  4]
 [ 0 32  8  2]
 [ 0  2  4  8]]","[[ 0  0  2  4]
 [ 0  4  2  4]
 [ 0 32  8  2]
 [ 0  2  4  8]]",False
0,0,1,"[0, 1, 3]","[-0.11122971773147583, 0.04653489589691162, 0.06918811798095703, -0.11412471532821655]",4.137354522551696,96.2296468263857,"[[ 0  0  2  4]
 [ 0  4  2  4]
 [ 0 32  8  2]
 [ 0  2  4  8]]","[[ 0  4  4  8]
 [ 0 32  8  2]
 [ 0  2  4  8]
 [ 0  0  2  0]]",False
0,0,2,"[0, 2, 3]","[-0.2998883128166199, 0.04074084758758545, 0.1972927749156952, -0.18662779033184052]",3.841375213146135,100.07102203953184,"[[ 0  4  4  8]
 [ 0 32  8  2]
 [ 0  2  4  8]
 [ 0  0  2  0]]","[[ 0  0  8  8]
 [ 0 32  8  2]
 [ 2  2  4  8]
 [ 0  0  0  2]]",False
0,0,1,"[0, 1, 2, 3]","[-0.25358060002326965, 0.027223050594329834, 0.17124922573566437, -0.14407587051391602]",4.63709115368803,104.70811319321987,"[[ 0  0  8  8]
 [ 0 32  8  2]
 [ 2  2  4  8]
 [ 0  0  0  2]]","[[ 2 32 16  8]
 [ 0  2  4  2]
 [ 0  0  0  8]
 [ 0  0  2  2]]",False
0,0,0,"[0, 1, 2, 3]","[-0.38495147228240967, -0.22310802340507507, 0.2695874869823456, -0.3243301212787628]",3.4307090761207184,108.1388222693406,"[[ 2 32 16  8]
 [ 0  2  4  2]
 [ 0  0  0  8]
 [ 0  0  2  2]]","[[ 2 32 16  8]
 [ 2  4  2  0]
 [ 8  0  2  0]
 [ 4  0  0  0]]",False
0,0,1,"[0, 1, 2, 3]","[-0.32032155990600586, -0.1656518578529358, 0.2818654179573059, -0.3317311406135559]",3.834007201907742,111.97282947124833,"[[ 2 32 16  8]
 [ 2  4  2  0]
 [ 8  0  2  0]
 [ 4  0  0  0]]","[[ 4 32 16  8]
 [ 8  4  4  0]
 [ 4  0  2  0]
 [ 0  0  0  0]]",False
0,0,3,"[0, 2, 3]","[-0.4041171073913574, -0.21206820011138916, 0.2859507203102112, -0.44265931844711304]",3.1397741421414165,115.11260361338975,"[[ 4 32 16  8]
 [ 8  4  4  0]
 [ 4  0  2  0]
 [ 0  0  0  0]]","[[ 0  0  0  0]
 [ 4  0 16  2]
 [ 8 32  4  0]
 [ 4  4  2  8]]",False
0,0,3,"[0, 1, 2, 3]","[-0.12021368741989136, 0.08989143371582031, 0.09152612090110779, -0.06742513179779053]",3.0351705644503224,118.14777417784008,"[[ 0  0  0  0]
 [ 4  0 16  2]
 [ 8 32  4  0]
 [ 4  4  2  8]]","[[ 0  0  0  0]
 [ 4  2 16  0]
 [ 8 32  4  2]
 [ 4  4  2  8]]",False
0,0,1,"[0, 1, 2]","[-0.12405437231063843, 0.07574588060379028, 0.12748482823371887, -0.12280905246734619]",2.9373545225516966,121.08512870039178,"[[ 0  0  0  0]
 [ 4  2 16  0]
 [ 8 32  4  2]
 [ 4  4  2  8]]","[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 4  4  2  0]
 [ 0  4  0  0]]",False
0,0,1,"[0, 1, 2, 3]","[-0.2776336371898651, 0.16198760271072388, 0.18257266283035278, -0.033733516931533813]",3.6341512091418022,124.71927990953358,"[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 4  4  2  0]
 [ 0  4  0  0]]","[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 4  8  2  0]
 [ 0  2  0  0]]",False
0,0,2,"[0, 2, 3]","[-0.23750028014183044, 0.1861673891544342, 0.2058447003364563, 0.02900053560733795]",2.8341512091418024,127.55343111867539,"[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 4  8  2  0]
 [ 0  2  0  0]]","[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 0  4  8  2]
 [ 0  2  0  2]]",False
0,0,2,"[0, 1, 2, 3]","[-0.20984315872192383, 0.12630867958068848, 0.16936010122299194, 0.03853943943977356]",3.1300008328192126,130.6834319514946,"[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 0  4  8  2]
 [ 0  2  0  2]]","[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 0  4  8  2]
 [ 0  2  0  4]]",False
0,0,2,"[0, 2, 3]","[-0.19790756702423096, 0.1183772087097168, 0.15983307361602783, 0.03801602125167847]",2.7300008328192122,133.4134327843138,"[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 0  4  8  2]
 [ 0  2  0  4]]","[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 0  4  8  2]
 [ 2  0  2  4]]",False
0,0,3,"[0, 1, 2, 3]","[-0.18601375818252563, 0.11529684066772461, 0.17248794436454773, 0.01783256232738495]",2.626564101527713,136.03999688584153,"[[ 4  2 16  2]
 [ 8 32  4  8]
 [ 0  4  8  2]
 [ 2  0  2  4]]","[[ 0  2 16  2]
 [ 4  2  4  8]
 [ 8 32  8  2]
 [ 2  4  2  4]]",False
0,0,3,"[0, 1, 3]","[-0.20929419994354248, -0.013820767402648926, 0.06818705797195435, -0.004851236939430237]",2.9274572313944875,138.96745411723603,"[[ 0  2 16  2]
 [ 4  2  4  8]
 [ 8 32  8  2]
 [ 2  4  2  4]]","[[ 0  2 16  2]
 [ 4  4  4  8]
 [ 8 32  8  2]
 [ 2  4  2  4]]",False
0,0,2,"[0, 1, 2]","[-0.1995229721069336, -0.026592358946800232, 0.08642256259918213, -0.010691344738006592]",3.3274572313944875,142.2949113486305,"[[ 0  2 16  2]
 [ 4  4  4  8]
 [ 8 32  8  2]
 [ 2  4  2  4]]","[[ 2  2 16  2]
 [ 0  4  8  8]
 [ 8 32  8  2]
 [ 2  4  2  4]]",False
0,0,2,"[0, 1, 2, 3]","[-0.1857099086046219, 0.04511421173810959, 0.01853601634502411, 0.050523340702056885]",4.525628888231859,146.82054023686237,"[[ 2  2 16  2]
 [ 0  4  8  8]
 [ 8 32  8  2]
 [ 2  4  2  4]]","[[ 0  4 16  2]
 [ 2  0  4 16]
 [ 8 32  8  2]
 [ 2  4  2  4]]",False
0,0,1,"[0, 1, 2, 3]","[-0.25744378566741943, 0.05736124515533447, 0.04941079020500183, 0.02077794075012207]",2.625507590776444,149.4460478276388,"[[ 0  4 16  2]
 [ 2  0  4 16]
 [ 8 32  8  2]
 [ 2  4  2  4]]","[[ 2  4 16  2]
 [ 8 32  4 16]
 [ 2  4  8  2]
 [ 0  2  2  4]]",False
0,0,3,"[0, 2, 3]","[-0.21850010752677917, 0.12795895338058472, 0.18388937413692474, -0.021487727761268616]",2.5274572313944876,151.9735050590333,"[[ 2  4 16  2]
 [ 8 32  4 16]
 [ 2  4  8  2]
 [ 0  2  2  4]]","[[ 2  4 16  2]
 [ 2 32  4 16]
 [ 8  4  8  2]
 [ 2  2  2  4]]",False
0,0,1,"[0, 1, 2, 3]","[-0.23335132002830505, 0.10755401849746704, 0.10640083253383636, -0.04504463076591492]",2.825116190188568,154.79862124922187,"[[ 2  4 16  2]
 [ 2 32  4 16]
 [ 8  4  8  2]
 [ 2  2  2  4]]","[[ 2  4 16  2]
 [ 2 32  4 16]
 [ 8  4  8  2]
 [ 4  2  4  2]]",False
0,0,1,"[1, 3]","[-0.2342858612537384, 0.12740558385849, 0.11860467493534088, -0.041677072644233704]",3.225116190188568,158.02373743941044,"[[ 2  4 16  2]
 [ 2 32  4 16]
 [ 8  4  8  2]
 [ 4  2  4  2]]","[[ 4  4 16  2]
 [ 8 32  4 16]
 [ 4  4  8  4]
 [ 2  2  4  0]]",False
0,0,0,"[0, 2, 3]","[-0.23721113801002502, 0.1355331540107727, 0.22580964863300323, -0.06462524831295013]",4.527457231394487,162.55119467080493,"[[ 4  4 16  2]
 [ 8 32  4 16]
 [ 4  4  8  4]
 [ 2  2  4  0]]","[[ 8 16  2  2]
 [ 8 32  4 16]
 [ 8  8  4  0]
 [ 4  4  0  0]]",False
